model,scheme,n,feature,beta,se,odds_ratio,ci_low,ci_high,p_value,log_p_value,p_holm
month,prompt_first,78959,list_density_diff,-0.012971272202248097,0.008788863951701085,0.987112492181,0.9702539827651849,1.0042639242178726,0.13998136973725528,-1.96624593853319,0.6999068486862764
month,prompt_first,78959,bold_density_diff,0.054086099502461286,0.010623192473512403,1.0555754827665127,1.0338241486793764,1.0777844580638825,3.5642257075674015e-07,-14.847148813510056,3.5642257075674014e-06
month,prompt_sequence,78959,log_token_ratio,0.48209208019064437,0.012684911203329097,1.6194588985207516,1.5796917234036494,1.6602271728987823,0.0,-inf,0.0
month,prompt_sequence,78959,header_density_diff,0.027734525826080998,0.009570833367119997,1.028122708162318,1.0090161419441166,1.047591073223447,0.003758765327696542,-5.583664745799137,0.026311357293875796
month,prompt_sequence,78959,list_density_diff,-0.012971272202248097,0.008794350010992274,0.987112492181,0.9702435512485375,1.0042747215025651,0.14022872151682908,-1.9644804643297857,0.7011436075841454
month,prompt_sequence,78959,bold_density_diff,0.054086099502461286,0.010620234275753454,1.0555754827665127,1.0338301444458988,1.0777782073814017,3.5376293950940395e-07,-14.85463881053947,3.5376293950940395e-06
month,model_pair,78959,log_token_ratio,0.48209208019064437,0.013817957143875032,1.6194588985207516,1.5761450722599826,1.6639630260922105,1.0689075448176447e-184,-423.6090199701437,1.6033613172264671e-183
month,model_pair,78959,header_density_diff,0.027734525826080998,0.009804234719412589,1.028122708162318,1.008535398281893,1.0480904337515078,0.004749587699309085,-5.3496974648483935,0.0332471138951636
month,model_pair,78959,list_density_diff,-0.012971272202248097,0.009219377316425425,0.987112492181,0.9694182171986299,1.0051297313511656,0.15969892261282453,-1.834464970103122,0.7984946130641226
month,model_pair,78959,bold_density_diff,0.054086099502461286,0.01109029269572833,1.0555754827665127,1.032855791935356,1.0787949378004689,1.2224215468441972e-06,-13.614676792017221,1.2224215468441973e-05
alternative_format,HC0,78959,log_token_ratio,0.48164782185068145,0.012485632170667955,1.6187396001878287,1.579607553730973,1.6588410754476073,0.0,-747.9393965708724,0.0
alternative_format,HC0,78959,header_density_diff,0.029812842354686703,0.009567006691265714,1.0302616945555865,1.0111232623265298,1.0497623769690008,0.0018318913925121235,-6.30240629805079,0.014655131140096988
alternative_format,HC0,78959,list_density_diff,-0.012746285269778663,0.008694782094106346,0.9873346045778746,0.9706515373002848,1.0043044119708333,0.14265659899381541,-1.9473149423588332,0.6971739140155792
alternative_format,HC0,78959,bold_density_diff,0.055301125902200376,0.010628521497625056,1.056858814327974,1.0350705685406831,1.0791057029063131,1.9600466861897414e-07,-15.44512735851501,2.1560513548087156e-06
alternative_format,prompt_first,78959,log_token_ratio,0.48164782185068145,0.012674333374532236,1.6187396001878287,1.579022821903654,1.659455364968837,0.0,-inf,0.0
